Age,Occupation,Marital_Status,Policies_Purchased,Renewal_History,Policy_Lapses,Claim_Frequency,Claim_Amount,Premium_Paid,Payment_Mode,Payment_Timing,Customer_Service_Interactions,Response_to_Offers,Cross_Selling_Products,Customer_Lifetime_Value
38,Business,Widowed,5,On-time,2,1,8644,1853,Bank Transfer,Late,3,Neutral,Auto + Home,1834
50,Engineer,Widowed,2,On-time,2,1,35583,4112,UPI,On-time,3,Neutral,Auto + Home,4070
29,Student,Widowed,2,Late,1,2,38069,1480,Cash,On-time,1,Neutral,Auto + Home,1598
39,Self-Employed,Widowed,1,On-time,1,1,46098,668,UPI,On-time,7,Neutral,Only Auto,661
61,Teacher,Widowed,5,On-time,1,0,0,3664,Credit Card,On-time,5,Neutral,Auto + Home,3297
42,Doctor,Widowed,5,On-time,0,3,41053,3171,Credit Card,On-time,8,Positive,Health + Life,4122
66,Teacher,Divorced,3,On-time,1,0,0,878,UPI,On-time,5,Negative,Only Auto,790
44,Engineer,Single,3,On-time,0,0,0,2432,UPI,On-time,2,Negative,Auto + Home,2432
59,Engineer,Divorced,3,On-time,1,4,24162,693,Credit Card,Late,1,Positive,Only Home,873
45,Retired,Married,1,On-time,0,3,15150,763,Credit Card,On-time,8,Neutral,Only Auto,991
33,Self-Employed,Divorced,2,Missed,1,4,42304,1971,Cash,On-time,2,Positive,Only Health,2483
32,Engineer,Widowed,5,On-time,1,1,30837,2515,Credit Card,Late,5,Neutral,Only Health,2489
64,Teacher,Divorced,5,Missed,2,1,37003,1800,Cash,Late,9,Neutral,Only Auto,1782
68,Business,Single,2,On-time,1,3,2387,3700,Credit Card,On-time,1,Positive,Only Auto,4329
61,Business,Married,5,On-time,2,2,13209,3873,Cash,On-time,6,Positive,Only Health,4182
72,Retired,Divorced,2,On-time,1,1,1983,1073,Bank Transfer,On-time,0,Neutral,Only Home,1062
69,Student,Single,1,Late,1,0,0,2037,Bank Transfer,On-time,8,Negative,Only Home,1833
74,Teacher,Divorced,1,On-time,2,3,33151,1883,Cash,On-time,0,Positive,Only Home,2203
20,Teacher,Married,1,On-time,2,3,22803,1880,UPI,On-time,8,Neutral,Health + Life,2199
54,Engineer,Divorced,2,On-time,0,1,20378,4037,Bank Transfer,On-time,0,Positive,Health + Life,4440
68,Self-Employed,Widowed,2,Late,2,1,8548,3659,Credit Card,On-time,0,Positive,Only Home,3622
24,Teacher,Divorced,4,On-time,0,4,40621,2023,UPI,On-time,7,Neutral,Only Health,2832
38,Doctor,Single,5,On-time,1,4,1775,4432,Credit Card,On-time,0,Neutral,Health + Life,5584
26,Student,Divorced,5,On-time,2,0,0,4122,Bank Transfer,On-time,7,Neutral,Auto + Home,3709
56,Engineer,Single,4,Late,2,3,31707,1395,Credit Card,On-time,2,Neutral,Health + Life,1632
35,Doctor,Married,4,Missed,1,2,25137,3893,Cash,On-time,3,Negative,Only Health,4204
21,Retired,Divorced,1,On-time,1,2,22531,964,UPI,On-time,1,Neutral,Only Health,1041
42,Business,Married,4,On-time,1,3,18870,2110,Bank Transfer,Late,5,Negative,Only Auto,2468
31,Retired,Married,2,Late,1,0,0,1112,UPI,On-time,6,Positive,Only Health,1000
67,Business,Divorced,3,Late,2,4,3001,3712,Cash,On-time,9,Negative,Only Home,4677
26,Retired,Single,2,On-time,1,4,45407,1104,Bank Transfer,On-time,2,Positive,Only Health,1391
43,Teacher,Married,4,Missed,1,4,15756,1120,Credit Card,On-time,8,Positive,Health + Life,1411
70,Doctor,Married,5,On-time,2,2,41830,3102,UPI,On-time,2,Positive,Health + Life,3350
19,Business,Divorced,2,On-time,0,2,28863,2683,Bank Transfer,On-time,6,Neutral,Health + Life,3219
37,Engineer,Divorced,5,Late,2,0,0,4300,Bank Transfer,On-time,3,Positive,Only Health,3870
45,Doctor,Divorced,2,On-time,0,2,24652,655,Cash,On-time,4,Positive,Only Home,786
64,Engineer,Divorced,5,Missed,1,1,37956,3853,Bank Transfer,On-time,8,Neutral,Only Home,3814
24,Doctor,Divorced,2,On-time,2,2,14886,4411,Bank Transfer,On-time,2,Neutral,Only Auto,4763
61,Doctor,Widowed,5,On-time,1,4,21745,3417,Cash,On-time,2,Neutral,Auto + Home,4305
25,Retired,Divorced,3,Late,2,0,0,3617,Credit Card,Late,8,Neutral,Only Home,3255
64,Business,Single,1,On-time,0,3,32823,3215,Credit Card,On-time,8,Negative,Health + Life,4179
52,Business,Married,2,On-time,2,3,39948,4839,Bank Transfer,On-time,3,Negative,Only Auto,5661
31,Self-Employed,Single,3,Late,1,0,0,949,Credit Card,On-time,0,Positive,Only Home,854
34,Doctor,Single,1,On-time,2,1,8794,4461,Cash,On-time,0,Negative,Only Home,4416
53,Teacher,Widowed,2,On-time,1,3,47169,1569,Credit Card,Late,8,Positive,Auto + Home,1835
67,Teacher,Divorced,3,Late,2,4,7162,4517,Bank Transfer,Late,5,Neutral,Auto + Home,5691
57,Engineer,Married,3,On-time,0,3,49691,4091,Cash,On-time,4,Negative,Auto + Home,5318
21,Engineer,Single,3,Missed,2,3,17757,3319,Credit Card,On-time,9,Neutral,Only Home,3883
19,Retired,Divorced,4,Late,2,4,6905,2785,UPI,On-time,2,Negative,Only Home,3509
23,Doctor,Divorced,5,On-time,2,2,29765,2535,UPI,On-time,2,Negative,Health + Life,2737
71,Engineer,Widowed,1,On-time,2,1,46044,1690,Cash,Late,1,Negative,Only Health,1673
59,Engineer,Widowed,5,Missed,0,4,39457,1899,Credit Card,On-time,6,Positive,Auto + Home,2658
21,Student,Widowed,5,On-time,1,4,20404,4240,Bank Transfer,On-time,8,Negative,Health + Life,5342
71,Doctor,Married,5,On-time,2,0,0,2748,UPI,On-time,5,Positive,Health + Life,2473
46,Retired,Single,3,On-time,2,1,16508,3293,Credit Card,On-time,9,Positive,Only Auto,3260
35,Engineer,Widowed,5,On-time,2,2,20676,1223,Credit Card,On-time,0,Neutral,Health + Life,1320
43,Retired,Widowed,4,On-time,0,4,24260,1941,Bank Transfer,On-time,5,Negative,Auto + Home,2717
61,Business,Widowed,2,Missed,1,2,7897,586,Bank Transfer,On-time,7,Positive,Only Health,632
51,Retired,Single,3,Late,1,4,2564,4649,Credit Card,On-time,7,Negative,Health + Life,5857
27,Teacher,Single,1,On-time,2,4,14870,2251,Bank Transfer,On-time,9,Negative,Only Home,2836
53,Teacher,Widowed,2,On-time,2,0,0,3920,Cash,On-time,2,Negative,Only Home,3528
31,Retired,Widowed,2,On-time,1,3,17441,2983,UPI,On-time,0,Positive,Health + Life,3490
48,Teacher,Divorced,2,On-time,2,1,20880,3712,UPI,On-time,4,Negative,Auto + Home,3674
65,Business,Widowed,5,Late,2,0,0,4422,Credit Card,On-time,5,Neutral,Only Health,3979
32,Doctor,Married,5,Late,2,2,3948,2989,Credit Card,On-time,9,Positive,Only Health,3228
25,Teacher,Married,3,Late,0,4,30593,1986,Bank Transfer,On-time,8,Negative,Auto + Home,2780
31,Teacher,Widowed,5,On-time,0,4,36902,4027,UPI,On-time,1,Positive,Only Home,5637
40,Retired,Single,5,On-time,1,1,18971,572,Bank Transfer,On-time,0,Positive,Only Home,566
74,Business,Divorced,5,On-time,0,0,0,1224,Credit Card,On-time,6,Positive,Only Auto,1224
57,Self-Employed,Single,3,On-time,0,0,0,4254,Credit Card,On-time,1,Positive,Health + Life,4254
38,Self-Employed,Widowed,3,On-time,1,2,4678,3495,Credit Card,On-time,1,Neutral,Health + Life,3774
33,Self-Employed,Married,4,Missed,0,0,0,4865,Credit Card,Late,2,Negative,Only Home,4865
62,Self-Employed,Divorced,4,Late,1,0,0,718,Credit Card,Late,3,Negative,Health + Life,646
35,Doctor,Single,4,Missed,2,3,4343,1046,Credit Card,Late,6,Positive,Auto + Home,1223
64,Retired,Single,4,Late,1,1,5014,4229,Cash,On-time,0,Positive,Only Health,4186
70,Retired,Widowed,2,On-time,1,0,0,2468,Cash,On-time,5,Positive,Only Auto,2221
41,Student,Divorced,2,On-time,1,2,45638,1759,Bank Transfer,On-time,6,Positive,Auto + Home,1899
43,Business,Married,4,On-time,2,4,38096,3433,Cash,Late,2,Negative,Auto + Home,4325
42,Self-Employed,Widowed,4,On-time,2,0,0,3009,Bank Transfer,Late,2,Positive,Auto + Home,2708
62,Doctor,Divorced,1,On-time,2,0,0,4508,Bank Transfer,On-time,1,Positive,Health + Life,4057
58,Business,Single,2,Late,1,4,39388,4572,Cash,On-time,4,Negative,Only Health,5760
46,Self-Employed,Widowed,1,On-time,1,3,42880,2062,UPI,On-time,6,Neutral,Only Auto,2412
32,Doctor,Single,1,On-time,1,1,33332,2585,Bank Transfer,On-time,2,Positive,Only Home,2559
62,Business,Single,5,On-time,1,3,40772,2289,Credit Card,On-time,6,Negative,Auto + Home,2678
18,Retired,Widowed,3,On-time,1,2,35010,4169,Bank Transfer,Late,7,Positive,Auto + Home,4502
42,Retired,Widowed,2,On-time,1,0,0,2981,Bank Transfer,On-time,2,Negative,Auto + Home,2682
24,Engineer,Widowed,4,On-time,1,3,3661,3930,UPI,On-time,0,Neutral,Only Home,4598
26,Teacher,Widowed,4,On-time,0,1,5798,704,Credit Card,Late,2,Neutral,Health + Life,774
41,Self-Employed,Widowed,3,Late,2,2,1540,1241,UPI,On-time,5,Neutral,Health + Life,1340
18,Student,Single,2,On-time,0,3,23329,3388,UPI,On-time,0,Positive,Only Health,4404
61,Business,Married,4,On-time,2,0,0,3994,UPI,On-time,8,Neutral,Health + Life,3594
25,Student,Married,4,On-time,1,1,20169,4763,Bank Transfer,On-time,2,Positive,Health + Life,4715
41,Engineer,Widowed,5,Missed,0,0,0,1605,Credit Card,On-time,2,Positive,Only Auto,1605
28,Teacher,Single,1,On-time,1,0,0,2323,Credit Card,On-time,6,Neutral,Only Auto,2090
68,Business,Married,4,Late,0,2,6336,3147,UPI,On-time,6,Positive,Health + Life,3776
34,Doctor,Married,2,Missed,0,1,8165,4697,Cash,On-time,5,Neutral,Only Auto,5166
25,Self-Employed,Married,3,Late,1,4,28618,588,Credit Card,On-time,6,Neutral,Only Health,740
52,Teacher,Single,5,On-time,0,0,0,3881,Credit Card,On-time,4,Positive,Health + Life,3881
52,Retired,Widowed,2,On-time,0,1,48496,4011,UPI,On-time,7,Positive,Only Auto,4412
50,Engineer,Widowed,5,On-time,2,0,0,2706,Bank Transfer,On-time,9,Negative,Only Home,2435
22,Teacher,Widowed,1,On-time,1,3,6209,3685,UPI,On-time,1,Positive,Only Auto,4311
59,Self-Employed,Divorced,4,On-time,1,3,15490,4881,Cash,On-time,4,Neutral,Only Auto,5710
56,Teacher,Divorced,2,Missed,0,1,28601,1364,Cash,On-time,8,Positive,Only Home,1500
58,Self-Employed,Divorced,3,Missed,1,2,8645,554,UPI,On-time,3,Positive,Only Health,598
45,Retired,Single,1,On-time,2,4,39508,2580,Cash,On-time,7,Neutral,Only Home,3250
24,Business,Married,1,On-time,2,3,37922,1057,Bank Transfer,On-time,2,Negative,Only Health,1236
26,Doctor,Married,5,Missed,1,2,36433,1492,Bank Transfer,Late,5,Neutral,Only Home,1611
25,Retired,Single,1,On-time,1,4,7018,4791,Bank Transfer,Late,7,Neutral,Only Health,6036
29,Doctor,Single,2,On-time,2,3,27374,947,Cash,On-time,8,Positive,Only Health,1107
51,Business,Widowed,5,On-time,1,4,6713,2321,Bank Transfer,On-time,6,Positive,Auto + Home,2924
50,Teacher,Widowed,1,Late,0,0,0,4319,UPI,On-time,5,Positive,Auto + Home,4319
65,Doctor,Divorced,3,On-time,1,1,31072,3472,Bank Transfer,On-time,5,Positive,Only Auto,3437
72,Engineer,Divorced,2,Late,0,3,22535,591,Cash,On-time,5,Neutral,Only Home,768
40,Engineer,Single,3,On-time,2,3,32320,1107,Credit Card,On-time,9,Positive,Only Health,1295
41,Self-Employed,Divorced,3,On-time,1,0,0,1751,Cash,On-time,8,Neutral,Auto + Home,1575
54,Retired,Married,5,On-time,2,3,49095,785,UPI,Late,2,Neutral,Only Auto,918
52,Business,Single,4,On-time,1,3,19962,3421,UPI,On-time,3,Negative,Only Auto,4002
61,Self-Employed,Single,5,On-time,0,3,2026,3806,Cash,On-time,2,Positive,Only Auto,4947
57,Retired,Married,2,On-time,1,3,5473,601,Bank Transfer,On-time,8,Neutral,Auto + Home,703
39,Retired,Widowed,2,Late,2,3,5667,4335,Bank Transfer,On-time,4,Neutral,Health + Life,5071
44,Self-Employed,Widowed,5,On-time,0,2,28889,4735,Credit Card,Late,9,Neutral,Only Auto,5682
52,Student,Married,4,Late,1,3,27140,2178,Bank Transfer,On-time,7,Positive,Health + Life,2548
18,Retired,Married,5,Missed,2,0,0,4323,UPI,On-time,7,Positive,Health + Life,3890
52,Student,Divorced,2,Late,2,3,16941,1034,Bank Transfer,On-time,8,Neutral,Health + Life,1209
54,Engineer,Single,4,Missed,1,4,30028,515,Cash,On-time,9,Negative,Only Auto,648
64,Engineer,Divorced,2,On-time,2,4,34452,1060,Cash,On-time,6,Neutral,Only Health,1335
31,Retired,Married,4,On-time,0,0,0,3425,Credit Card,On-time,2,Positive,Health + Life,3425
20,Engineer,Divorced,4,Missed,1,2,4268,2883,UPI,On-time,4,Positive,Auto + Home,3113
18,Business,Married,5,Late,0,0,0,1409,Cash,On-time,2,Neutral,Auto + Home,1409
22,Student,Divorced,5,Late,2,2,29066,1913,UPI,On-time,1,Negative,Health + Life,2066
43,Student,Divorced,5,On-time,2,1,1658,618,Bank Transfer,On-time,2,Positive,Health + Life,611
72,Retired,Widowed,4,On-time,2,4,35064,4562,Credit Card,On-time,9,Neutral,Health + Life,5748
31,Engineer,Married,4,On-time,0,4,35293,3613,Credit Card,On-time,8,Positive,Auto + Home,5058
56,Doctor,Divorced,2,Late,2,4,44042,3560,Bank Transfer,Late,8,Negative,Only Home,4485
44,Self-Employed,Single,3,On-time,1,2,40918,1991,Cash,On-time,7,Neutral,Only Health,2150
26,Self-Employed,Divorced,5,On-time,1,0,0,2596,UPI,On-time,6,Positive,Only Home,2336
32,Student,Divorced,2,On-time,2,2,7604,2754,UPI,Late,0,Positive,Auto + Home,2974
32,Retired,Single,2,On-time,1,4,48821,1013,UPI,Late,8,Neutral,Auto + Home,1276
43,Retired,Married,1,On-time,0,4,39557,1733,Cash,On-time,9,Neutral,Only Auto,2426
59,Business,Widowed,5,Late,0,4,8420,4632,Bank Transfer,On-time,1,Neutral,Only Home,6484
30,Teacher,Widowed,2,Late,2,4,39521,1979,UPI,On-time,5,Positive,Health + Life,2493
68,Teacher,Widowed,1,On-time,1,1,49312,3849,Cash,On-time,9,Neutral,Health + Life,3810
49,Student,Single,5,On-time,1,4,24018,2040,UPI,On-time,4,Negative,Auto + Home,2570
56,Self-Employed,Divorced,4,Missed,2,2,6108,629,Cash,On-time,5,Negative,Only Auto,679
66,Business,Married,1,On-time,0,4,28150,4216,Bank Transfer,On-time,7,Positive,Only Home,5902
69,Business,Divorced,4,Late,2,3,6247,4243,UPI,On-time,7,Positive,Only Auto,4964
49,Business,Widowed,3,On-time,1,1,9401,2271,Bank Transfer,On-time,9,Positive,Only Health,2248
21,Student,Divorced,3,On-time,1,4,18007,4954,Credit Card,On-time,1,Positive,Only Auto,6242
47,Teacher,Single,3,On-time,2,3,10997,3575,Cash,On-time,6,Neutral,Only Health,4182
54,Self-Employed,Single,3,Late,0,2,6261,1005,Credit Card,On-time,1,Positive,Only Home,1206
40,Business,Married,2,On-time,0,1,5268,1338,Bank Transfer,On-time,0,Positive,Health + Life,1471
56,Self-Employed,Married,3,On-time,2,4,6984,4371,Bank Transfer,Late,7,Negative,Only Health,5507
62,Engineer,Widowed,2,On-time,1,2,21926,3176,Bank Transfer,On-time,8,Positive,Health + Life,3430
32,Retired,Married,2,On-time,0,3,32862,596,UPI,On-time,6,Negative,Only Auto,774
60,Retired,Divorced,5,On-time,2,1,33458,2463,UPI,On-time,3,Positive,Only Auto,2438
46,Self-Employed,Single,2,On-time,1,4,1010,3366,Bank Transfer,On-time,6,Positive,Only Home,4241
53,Doctor,Single,2,On-time,0,2,18144,4526,Bank Transfer,On-time,3,Positive,Health + Life,5431
30,Doctor,Single,3,On-time,0,1,26903,1098,UPI,On-time,6,Negative,Only Home,1207
49,Student,Married,2,On-time,2,3,2177,3481,UPI,Late,3,Negative,Only Health,4072
24,Student,Single,4,On-time,1,4,27946,4463,Cash,Late,8,Neutral,Only Auto,5623
68,Retired,Single,3,On-time,0,1,10168,928,Bank Transfer,On-time,4,Positive,Only Auto,1020
39,Engineer,Single,1,On-time,2,3,3389,4281,UPI,On-time,6,Neutral,Only Auto,5008
45,Teacher,Widowed,3,On-time,0,3,7364,1824,UPI,On-time,7,Neutral,Only Auto,2371
19,Teacher,Widowed,2,On-time,1,2,28033,3090,Credit Card,On-time,4,Negative,Only Auto,3337
59,Student,Married,4,On-time,0,3,49545,2914,Bank Transfer,On-time,0,Negative,Only Health,3788
62,Engineer,Single,3,On-time,1,3,12865,2267,Bank Transfer,On-time,3,Negative,Only Health,2652
74,Student,Married,4,On-time,0,0,0,2016,UPI,On-time,2,Neutral,Only Home,2016
70,Teacher,Single,1,On-time,0,3,13327,1839,Credit Card,On-time,6,Positive,Auto + Home,2390
23,Self-Employed,Single,1,On-time,2,4,33252,4594,Cash,On-time,5,Positive,Only Auto,5788
45,Student,Single,5,Late,0,1,36078,3903,Bank Transfer,On-time,5,Neutral,Only Auto,4293
45,Business,Married,5,Late,1,4,4741,3046,Cash,On-time,1,Positive,Auto + Home,3837
61,Self-Employed,Married,3,On-time,2,4,41053,1476,Bank Transfer,On-time,5,Positive,Only Home,1859
61,Student,Single,5,On-time,1,2,25001,2114,UPI,On-time,7,Positive,Only Health,2283
37,Retired,Divorced,4,Late,1,0,0,2084,Cash,Late,4,Neutral,Only Auto,1875
47,Student,Married,5,Missed,2,0,0,4561,Bank Transfer,On-time,8,Neutral,Only Home,4104
28,Retired,Widowed,4,On-time,1,4,20139,1770,Cash,On-time,1,Positive,Auto + Home,2230
72,Engineer,Married,5,On-time,0,1,47905,718,UPI,On-time,6,Positive,Only Health,789
45,Teacher,Single,5,On-time,2,0,0,1033,Credit Card,On-time,5,Neutral,Only Health,929
42,Self-Employed,Divorced,5,On-time,0,0,0,1995,Credit Card,On-time,5,Negative,Only Home,1995
56,Self-Employed,Single,2,On-time,0,4,39005,1873,Cash,On-time,3,Positive,Health + Life,2622
50,Doctor,Widowed,2,On-time,1,0,0,4639,Cash,On-time,9,Neutral,Health + Life,4175
18,Doctor,Married,5,Late,1,2,2740,4323,Cash,On-time,8,Positive,Health + Life,4668
74,Teacher,Married,4,On-time,0,4,19508,4449,Bank Transfer,On-time,5,Positive,Auto + Home,6228
44,Doctor,Single,3,On-time,2,0,0,564,UPI,On-time,7,Positive,Health + Life,507
74,Self-Employed,Single,1,On-time,0,0,0,4841,Cash,On-time,7,Positive,Only Home,4841
69,Student,Widowed,2,On-time,0,0,0,3642,Credit Card,On-time,3,Negative,Only Health,3642
30,Engineer,Divorced,5,On-time,1,4,20481,2224,Bank Transfer,On-time,4,Negative,Only Home,2802
58,Engineer,Widowed,1,On-time,1,1,6247,2705,Cash,On-time,1,Positive,Only Home,2677
20,Teacher,Divorced,2,On-time,0,3,42613,3485,Bank Transfer,On-time,3,Positive,Only Auto,4530
56,Doctor,Married,3,On-time,0,0,0,4413,Cash,On-time,5,Positive,Auto + Home,4413
23,Student,Divorced,4,Missed,1,3,45501,1548,Cash,On-time,1,Positive,Only Health,1811
25,Engineer,Divorced,5,On-time,0,3,26319,4154,Bank Transfer,On-time,1,Positive,Only Auto,5400
44,Engineer,Married,3,On-time,1,0,0,3372,UPI,On-time,9,Positive,Auto + Home,3034
26,Business,Married,2,On-time,0,0,0,4755,UPI,On-time,6,Positive,Only Health,4755
54,Business,Married,5,On-time,2,3,34620,1504,Credit Card,Late,9,Neutral,Only Auto,1759
50,Self-Employed,Widowed,1,On-time,2,1,31442,2622,UPI,On-time,4,Positive,Health + Life,2595
68,Engineer,Married,4,On-time,0,3,22310,4481,UPI,Late,2,Neutral,Only Home,5825
59,Teacher,Single,2,On-time,1,1,43521,4982,Bank Transfer,On-time,2,Positive,Health + Life,4932
61,Retired,Married,4,On-time,0,2,22452,971,Bank Transfer,On-time,6,Negative,Only Health,1165
41,Retired,Married,5,Late,0,1,13137,3905,Credit Card,On-time,2,Positive,Only Auto,4295
32,Student,Married,3,On-time,1,4,44636,808,Cash,On-time,9,Positive,Only Auto,1018
71,Engineer,Divorced,4,On-time,0,0,0,3434,Bank Transfer,On-time,4,Positive,Only Auto,3434
49,Engineer,Widowed,1,On-time,1,2,22773,3547,Bank Transfer,On-time,1,Negative,Only Home,3830
49,Self-Employed,Married,2,Late,0,3,31024,2421,Bank Transfer,On-time,2,Negative,Only Auto,3147
41,Engineer,Widowed,1,On-time,1,1,18702,3499,UPI,On-time,3,Neutral,Auto + Home,3464
58,Teacher,Single,4,On-time,0,2,17505,2517,Bank Transfer,On-time,0,Positive,Auto + Home,3020
69,Business,Single,3,Late,2,4,5254,1978,Credit Card,On-time,3,Positive,Auto + Home,2492
66,Engineer,Married,3,On-time,1,1,9498,2852,Credit Card,On-time,3,Negative,Health + Life,2823
66,Engineer,Single,1,On-time,2,3,13174,4697,Bank Transfer,Late,2,Neutral,Only Health,5495
69,Self-Employed,Widowed,5,On-time,1,3,30422,3959,Cash,On-time,9,Positive,Health + Life,4632
29,Doctor,Divorced,5,Late,1,1,30733,4254,Bank Transfer,On-time,8,Positive,Health + Life,4211
56,Self-Employed,Married,3,Late,1,4,2896,1731,Credit Card,On-time,2,Neutral,Only Home,2181
19,Self-Employed,Single,1,Missed,1,0,0,3620,Cash,Late,1,Neutral,Health + Life,3258
20,Teacher,Widowed,1,Missed,0,0,0,1071,UPI,On-time,6,Positive,Only Home,1071
66,Student,Widowed,1,Late,0,3,4911,4089,Bank Transfer,Late,8,Positive,Auto + Home,5315
54,Engineer,Single,4,On-time,1,4,9340,647,Credit Card,On-time,5,Positive,Auto + Home,815
66,Self-Employed,Widowed,5,Late,0,3,18423,3943,UPI,Late,4,Neutral,Health + Life,5125
73,Self-Employed,Widowed,5,On-time,1,0,0,1096,Credit Card,On-time,0,Negative,Health + Life,986
34,Doctor,Married,4,On-time,1,3,37672,1570,UPI,On-time,2,Neutral,Auto + Home,1836
66,Self-Employed,Widowed,2,On-time,2,1,5876,4245,Credit Card,On-time,8,Neutral,Only Auto,4202
19,Retired,Single,4,On-time,1,1,42077,4750,Credit Card,On-time,7,Negative,Auto + Home,4702
19,Student,Married,1,Late,1,4,1703,4825,UPI,On-time,8,Positive,Only Auto,6079
45,Engineer,Single,4,On-time,0,0,0,3871,Bank Transfer,On-time,7,Positive,Auto + Home,3871
71,Engineer,Divorced,1,On-time,1,4,7440,657,Credit Card,On-time,0,Positive,Only Health,827
40,Doctor,Single,3,On-time,1,4,32937,1422,Cash,On-time,7,Negative,Only Home,1791
54,Teacher,Single,1,Late,2,0,0,3818,Bank Transfer,On-time,7,Neutral,Only Home,3436
49,Engineer,Married,5,On-time,0,2,16751,2846,Cash,On-time,4,Negative,Only Health,3415
50,Retired,Widowed,4,On-time,0,2,13730,4550,Credit Card,On-time,5,Neutral,Only Auto,5460
18,Engineer,Single,1,On-time,2,3,22380,1746,UPI,On-time,1,Positive,Health + Life,2042
36,Retired,Married,2,On-time,1,2,29972,1265,Bank Transfer,On-time,0,Positive,Health + Life,1366
19,Student,Divorced,3,On-time,2,1,38113,4151,UPI,On-time,7,Negative,Only Home,4109
70,Student,Married,2,On-time,0,4,11149,3112,UPI,On-time,6,Positive,Health + Life,4356
61,Business,Married,2,Late,2,3,39402,4328,Cash,On-time,3,Negative,Only Auto,5063
43,Business,Widowed,2,On-time,0,4,18381,943,Cash,On-time,6,Positive,Health + Life,1320
49,Retired,Single,3,On-time,2,0,0,1404,Bank Transfer,On-time,1,Positive,Auto + Home,1263
23,Teacher,Divorced,3,On-time,1,2,44808,3410,Bank Transfer,On-time,1,Positive,Only Health,3682
49,Engineer,Married,3,On-time,1,0,0,3709,Bank Transfer,On-time,6,Negative,Only Home,3338
72,Self-Employed,Single,3,On-time,0,3,3414,2301,Cash,On-time,2,Positive,Health + Life,2991
21,Engineer,Single,2,On-time,2,1,4856,1425,Cash,Late,5,Positive,Only Auto,1410
72,Business,Married,5,On-time,0,2,7263,4221,UPI,On-time,6,Positive,Health + Life,5065
28,Self-Employed,Single,5,Late,1,0,0,4887,UPI,On-time,6,Positive,Only Health,4398
73,Retired,Married,3,On-time,0,2,16799,1251,UPI,Late,9,Neutral,Auto + Home,1501
34,Self-Employed,Married,4,On-time,1,4,42392,1734,Bank Transfer,On-time,3,Negative,Only Home,2184
55,Engineer,Married,1,On-time,0,1,13470,3422,Credit Card,On-time,2,Negative,Only Home,3764
41,Engineer,Divorced,4,On-time,2,2,14772,1162,Cash,Late,0,Positive,Only Auto,1254
